Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
5613416,0,4048,4074,4031,3881
5616752,0,4030,4068,4018,3870
5620087,0,4018,4076,4002,3870
5623424,0,4013,4085,3991,3869
5626760,0,4003,4082,3990,3876
5630096,0,3982,4081,3959,3850
5633431,0,3984,4073,3956,3857
5636767,0,3967,4064,3944,3850
5640102,0,3963,4071,3934,3865
5643437,0,3956,4073,3923,3851
5646773,0,3954,4079,3917,3857
5650108,0,3940,4077,3896,3858
5653443,0,3926,4077,3892,3854
5656778,0,3924,4084,3880,3859
5660114,0,3924,4086,3885,3854
5663449,0,3914,4077,3864,3850
5666785,0,3911,4075,3858,3853
5670120,0,3893,4085,3842,3844
5673455,0,3904,4077,3848,3846
5676791,0,3901,4084,3832,3861
5680128,0,3894,4071,3825,3841
5683464,0,3885,4095,3816,3867
5686801,0,3888,4070,3817,3851
5690137,0,3902,4072,3814,3852
5693472,0,3894,4084,3809,3857
5696808,0,3875,4071,3789,3845
5700143,0,3868,4075,3792,3850
5703480,0,3871,4070,3787,3842
5706816,0,3878,4080,3776,3853
5710153,0,3869,4075,3776,3856
5713489,0,3873,4082,3775,3856
5716826,0,3855,4078,3762,3859
5720163,0,3859,4077,3761,3853
5723499,0,3858,4075,3753,3845
5726836,0,3884,4073,3752,3870
5730172,0,3857,4073,3747,3848
5733507,0,3852,4076,3740,3852
5736843,0,3850,4068,3752,3850
5740178,0,3856,4078,3747,3850
5743515,0,3855,4074,3754,3848
5746851,0,3845,4076,3728,3851
5750188,0,3855,4083,3734,3849
5753524,0,3849,4066,3724,3846
5756859,0,3852,4074,3714,3858
5760195,0,3845,4065,3712,3843
5763530,0,3855,4076,3712,3857
5766866,0,3838,4076,3707,3851
5770201,0,3855,4072,3714,3839
5773538,0,3857,4068,3693,3853
5776874,0,3842,4073,3703,3850
5780211,0,3837,4069,3692,3847
5783548,0,3865,4074,3692,3855
5786883,0,3840,4074,3694,3846
5790218,0,3859,4069,3699,3863
5793553,0,3838,4088,3686,3858
5796888,0,3851,4073,3692,3844
5800223,0,3847,4073,3688,3849
5803560,0,3831,4076,3681,3842
5806896,0,3843,4078,3683,3849
5810233,0,3843,4074,3681,3860
5813569,0,3842,4073,3680,3846
5816904,0,3835,4072,3690,3860
5820239,0,3837,4064,3678,3844
5823576,0,3842,4074,3668,3856
5826911,0,3849,4087,3694,3847
5830248,0,3845,4085,3683,3839
5833585,0,3834,4079,3670,3847
5836921,0,3845,4068,3669,3843
5840256,0,3831,4077,3667,3844
5843592,0,3843,4076,3667,3847
5846927,0,3831,4059,3660,3868
5850262,0,3848,4069,3657,3852
5853599,0,3836,4064,3664,3846
5856935,0,3846,4072,3657,3852
5860270,0,3832,4082,3657,3863
5863607,0,3837,4077,3657,3849
5866944,0,3835,4074,3655,3851
5870280,0,3857,4095,3649,3854
5873617,0,3836,4075,3657,3846
5876953,0,3837,4070,3656,3851
5880288,0,3835,4075,3651,3839
5883623,0,3834,4074,3645,3852
5886959,0,3833,4079,3653,3852
5890294,0,3838,4063,3656,3853
5893632,0,3857,4068,3643,3863
5896967,0,3835,4067,3650,3867
5900303,0,3837,4072,3649,3853
5903639,0,3828,4079,3638,3853
5906974,0,3832,4067,3665,3851
5910309,0,3838,4073,3647,3854
5913645,0,3841,4069,3641,3870
5916980,0,3839,4083,3640,3839
5920317,0,3832,4076,3646,3851
5923653,0,3864,4070,3652,3853
5926990,0,3854,4076,3651,3858
5930327,0,3834,4068,3647,3847
5933663,0,3853,4070,3645,3850
5937002,0,3824,4078,3655,3847
5940338,0,3837,4075,3643,3856
5943675,0,3831,4076,3640,3855
5947011,0,3828,4080,3638,3853
5950346,0,3826,4075,3633,3850
5953682,0,3836,4075,3636,3853
5957017,0,3837,4077,3641,3850
5960354,0,3847,4074,3635,3871
5963690,0,3849,4070,3641,3863
5967027,0,3847,4073,3643,3852
5970364,0,3841,4075,3640,3844
5973700,0,3829,4079,3644,3848
5977037,0,3833,4076,3638,3855
5980373,0,3828,4080,3638,3849
5983710,0,3845,4077,3629,3847
5987046,0,3834,4076,3628,3855
5990381,0,3849,4077,3628,3847
5993717,0,3839,4086,3635,3845
5997052,0,3828,4076,3635,3846
6000389,0,3832,4072,3636,3849
6003725,0,3831,4079,3636,3853
6007061,0,3836,4076,3637,3851
6010396,0,3834,4075,3638,3843
6013732,0,3829,4077,3633,3845
6017067,0,3827,4065,3628,3843
6020402,0,3841,4071,3641,3847
6023738,0,3833,4067,3640,3849
6027073,0,3836,4080,3644,3847
6030409,0,3830,4080,3631,3844
6033746,0,3834,4076,3630,3852
6037082,0,3833,4083,3633,3848
6040417,0,3840,4072,3631,3842
6043753,0,3836,4075,3633,3844
6047088,0,3834,4082,3632,3846
6050423,0,3824,4070,3626,3845
6053759,0,3829,4079,3631,3849
6057095,0,3820,4075,3629,3863
6060430,0,3833,4075,3644,3868
6063767,0,3836,4076,3632,3848
6067103,0,3834,4074,3634,3860
6070438,0,3826,4082,3628,3852
6073774,0,3836,4076,3636,3846
6077111,0,3836,4064,3636,3847
6080448,0,3832,4076,3628,3850
6083784,0,3830,4067,3623,3847
6087121,0,3835,4089,3625,3845
6090458,0,3839,4074,3636,3851
6093794,0,3829,4066,3627,3851
6097130,0,3832,4071,3625,3844
6100465,0,3832,4077,3628,3849
6103801,0,3832,4073,3639,3850
6107136,0,3834,4067,3635,3854
6110471,0,3855,4071,3636,3852
6113807,0,3856,4080,3632,3848
6117144,0,3857,4090,3641,3859
6120480,0,3835,4074,3630,3854
6123817,0,3830,4071,3640,3853
6127153,0,3847,4056,3630,3848
6130488,0,3833,4076,3628,3842
6133825,0,3832,4077,3623,3862
6137161,0,3833,4074,3631,3860
6140496,0,3854,4074,3636,3854
6143832,0,3841,4075,3633,3851
6147169,0,3852,4069,3633,3848
6150504,0,3853,4075,3638,3850
6153840,0,3834,4090,3624,3848
6157175,0,3836,4079,3630,3853
6160512,0,3845,4074,3628,3849
6163848,0,3829,4081,3632,3844
6167183,0,3833,4066,3630,3849
6170518,0,3843,4070,3640,3844
6173854,0,3837,4074,3629,3863
6177190,0,3842,4073,3636,3849
6180525,0,3826,4070,3625,3860
6183860,0,3836,4069,3626,3855
6187195,0,3832,4075,3628,3845
6190530,0,3841,4085,3620,3853
6193865,0,3835,4068,3650,3846
6197202,0,3847,4072,3632,3845
6200539,0,3825,4084,3625,3853
6203875,0,3834,4094,3625,3851
6207211,0,3839,4073,3622,3851
6210546,0,3838,4075,3628,3853
6213882,0,3838,4071,3630,3843
6217218,0,3836,4070,3626,3848
6220553,0,3832,4072,3630,3873
6223889,0,3837,4075,3621,3854
6227224,0,3833,4065,3636,3847
6230561,0,3833,4069,3621,3837
6233897,0,3828,4080,3626,3849
6237233,0,3835,4072,3630,3830
6240568,0,3832,4090,3626,3855
6243903,0,3838,4070,3632,3872
6247238,0,3828,4095,3640,3853
6250575,0,3827,4074,3639,3846
6253911,0,3833,4095,3625,3854
6257247,0,3825,4076,3632,3850
6260586,0,3852,4070,3656,3846
6263923,0,3837,4073,3627,3846
6267259,0,3830,4079,3627,3852
6270595,0,3828,4084,3627,3849
6273930,0,3828,4078,3618,3858
6277266,0,3834,4077,3627,3858
6280603,0,3835,4075,3627,3843
6283939,0,3828,4068,3619,3846
6287274,0,3828,4060,3630,3865
6290610,0,3836,4066,3634,3850
6293945,0,3843,4073,3626,3870
6297280,0,3831,4064,3629,3862
6300616,0,3832,4076,3627,3852
6303953,0,3841,4078,3620,3848
6307289,0,3826,4078,3628,3850
6310626,0,3836,4077,3630,3846
6313962,0,3848,4069,3636,3844
6317297,0,3825,4069,3638,3841
6320633,0,3834,4067,3635,3848
6323968,0,3834,4081,3626,3859
6327304,0,3840,4069,3639,3867
6330641,0,3836,4069,3629,3850
6333978,0,3835,4075,3627,3854
6337314,0,3827,4078,3626,3852
6340651,0,3842,4073,3644,3864
6343987,0,3836,4077,3647,3848
6347322,0,3835,4072,3629,3858
6350658,0,3825,4084,3623,3846
6353993,0,3828,4090,3640,3854
6357330,0,3837,4094,3626,3861
6360666,0,3828,4075,3623,3854
6364003,0,3851,4069,3626,3860
6367340,0,3829,4083,3625,3853
6370676,0,3828,4066,3624,3844
6374013,0,3841,4073,3622,3869
6377349,0,3838,4074,3632,3851
6380686,0,3826,4084,3623,3827
6384022,0,3818,4068,3631,3852
6387357,0,3832,4078,3625,3855
6390693,0,3837,4095,3628,3858
6394028,0,3835,4077,3632,3845
6397365,0,3829,4083,3628,3848
6400701,0,3831,4078,3627,3853
6404037,0,3829,4077,3630,3850
6407372,0,3844,4086,3628,3849
6410709,0,3835,4074,3622,3854
6414045,0,3834,4074,3629,3854
6417380,0,3852,4077,3622,3847
6420716,0,3829,4067,3636,3845
6424051,0,3837,4069,3633,3850
6427388,0,3825,4078,3644,3845
6430724,0,3837,4056,3646,3842
6434061,0,3828,4077,3627,3853
6437398,0,3841,4074,3617,3853
6440734,0,3845,4092,3624,3849
6444071,0,3836,4073,3620,3856
6447408,0,3829,4084,3634,3845
6450744,0,3840,4068,3630,3848
6454080,0,3832,4078,3628,3849
6457415,0,3834,4081,3631,3856
6460751,0,3829,4093,3644,3844
6464086,0,3833,4072,3628,3850
6467423,0,3830,4074,3619,3856
6470759,0,3835,4074,3629,3849
6474095,0,3848,4077,3627,3848
6477430,0,3827,4079,3626,3855
6480766,0,3833,4068,3632,3846
6484101,0,3829,4081,3640,3846
6487436,0,3828,4079,3635,3846
6490772,0,3832,4077,3631,3853
6494109,0,3828,4080,3624,3860
6497446,0,3829,4072,3627,3842
6500782,0,3831,4082,3628,3858
6504119,0,3830,4074,3625,3843
6507455,0,3853,4069,3624,3847
6510791,0,3840,4074,3630,3855
6514128,0,3828,4095,3623,3857
6517464,0,3837,4093,3629,3851
6520801,0,3835,4076,3631,3847
6524137,0,3834,4075,3624,3858
6527472,0,3822,4074,3640,3850
6530807,0,3836,4071,3635,3852
6534142,0,3833,4077,3629,3852
6537479,0,3859,4073,3631,3852
6540814,0,3847,4077,3624,3877
6544151,0,3836,4074,3632,3845
6547487,0,3837,4075,3625,3863
6550822,0,3843,4082,3623,3850
6554157,0,3835,4086,3626,3857
6557494,0,3839,4066,3635,3853
6560830,0,3842,4075,3630,3858
6564165,0,3821,4076,3622,3839
6567501,0,3830,4078,3628,3857
6570837,0,3838,4071,3624,3864
6574174,0,3834,4055,3636,3861
6577510,0,3837,4074,3636,3852
6580846,0,3834,4067,3628,3860
6584181,0,3842,4076,3642,3850
6587518,0,3827,4077,3631,3852
6590854,0,3834,4082,3628,3854
6594191,0,3832,4095,3627,3859
6597527,0,3833,4078,3629,3850
6600862,0,3834,4075,3627,3846
6604198,0,3830,4076,3629,3851
6607535,0,3830,4068,3626,3847
6610872,0,3850,4071,3635,3849
6614208,0,3831,4078,3626,3851
6617545,0,3853,4083,3631,3848
6620882,0,3831,4079,3624,3865
6624218,0,3834,4077,3630,3855
6627554,0,3833,4067,3633,3847
6630889,0,3852,4095,3626,3839
6634224,0,3831,4075,3636,3850
6637560,0,3835,4073,3627,3867
6640895,0,3828,4068,3625,3847
6644232,0,3831,4076,3629,3852
6647568,0,3822,4069,3621,3847
6650905,0,3839,4078,3622,3863
6654241,0,3834,4078,3629,3848
6657577,0,3832,4076,3629,3843
6660912,0,3842,4073,3629,3851
6664248,0,3834,4071,3628,3848
6667584,0,3824,4081,3622,3854
6670921,0,3836,4070,3629,3851
6674258,0,3843,4087,3643,3874
6677594,0,3839,4092,3635,3858
6680929,0,3833,4077,3626,3851
6684265,0,3830,4090,3631,3850
6687602,0,3846,4064,3624,3861
